PLAYER,CUSTOM POSITION,DEFAULT MFL POSITION
"Abdullah, Yasir ATL",DE,LB
"Batty, Tyler MIN",DE,LB
"Booker, Thomas LVR",DT,DE
"Bowman, Billy ATL",CB,S
"Bredeson, Max MIN",RB,TE
"Bridges, Trikweze CIN",CB,S
"Chambliss, Chaz MIN",DE,LB
"Chatman, Elijah CLE",DT,DE
"Gill, Cam CAR",DE,LB
"Goode, Cameron FA",DE,LB
"Hampton, Dominique FA",LB,S
"Hampton, Nick FA",DE,LB
"Harrison, Ronnie MIA",LB,S
"Heyward, Connor LVR",RB,TE
"Holmes, Jalyn TEN",DT,DE
"Incoom, Thomas CAR",DE,LB
"Ivey, Jared ATL",DE,LB
"Jenkins, Keonta BUF",LB,S
"Johnson, Desjuan LAR",DE,DT
"Jones, Velus SEA",RB,WR
"Lacy, Tyler DET",DE,DT
"Leota, Eku ARI",DE,LB
"Murphy, Caleb LAC",DE,LB
"Nowakowski, Riley PIT",RB,TE
"Nowaske, Trevor DET",DE,LB
"O'Toole, Connor SEA",DE,LB
"Ponder, Elijah NEP",DE,LB
"Ravenell, C.J. FA",DT,DE
"Reiger, Mason PHI",DE,LB
"Thomas, Tavierre MIN",S,CB
"VanSumeren, Ben KCC",RB,LB
"Ward, Jihad MIN",DE,DT
"West, Tyre DET",DE,DT
"Westover, Jack WAS",RB,TE
"Williams, Elijah MIN",DT,DE
